dayname,type,lesson1,lesson2,gospel,psalm,s2lesson,s2gospel,s3lesson,s3gospel,hymnabc,hymn,note
Advent 4,ilcwa,Is. 7:10-14,Rom. 1:1-7,Mt. 1:18-25,24,,,,,110,87,
Maundy Thursday,ilcwb,Ex. 24:3-11,1 Co. 10:16-21,Mk. 14:12-26,116:12-19,,,,,329,321,
Maundy Thursday,ilcwc,Jer. 31:31-34,Heb. 10:15-39,Lk. 22:7-20,116:12-19,,,,,329,321,
Maundy Thursday,historic,Ex. 12:1-14,1 Cor. 11:23-32,Luke 22:14-20,67,1 Co. 10:16-17,Matt. 26:17-29,Ac. 2:44-47,John 13:1-15,,,
Maundy Thursday,ilcwa,Ex. 12:1-14,1 Co. 11:17-32,Jn. 13:1-17,116:12-19,,,,,329,321,
Pentecost Vigil,ilcwb,Ex. 19:1-9,Rom. 8:14-27,Jn. 7:37-39a,98,,,,,399,438,
Pentecost Vigil,ilcwc,Ex. 19:1-9,Rom. 8:14-27,Jn. 7:37-39a,98,,,,,399,438,
Pentecost Vigil,historic,Ezek. 36:23-26,Acts 19:1-8,John 14:15-21,33,,,,,,,
Pentecost Vigil,ilcwa,Ex. 19:1-9,Rom. 8:14-27,Jn. 7:37-39a,98,,,,,399,438,
Epiphany,ilcwb,Is. 60:1-6,Eph. 3:2-12,Mt. 2:1-12,72,,,,,167,168,
Epiphany,ilcwc,Is. 60:1-6,Eph. 3:2-12,Mt. 2:1-12,72,,,,,167,168,
Epiphany,historic,Is. 60:1-6,Rom. 3:23-31,Matt. 2:1-12,72,1 Tim. 3:14-16,Matt. 4:13-17,Is. 49:1-6,Matt. 12:15-21,,,
Epiphany,ilcwa,Is. 60:1-6,Eph. 3:2-12,Mt. 2:1-12,72,,,,,167,168,
Pentecost second,ilcwb,Ezek. 36:22-28,Rev. 21:1-5,Mt. 28:16-20,,,,,,401,5,
Pentecost second,ilcwc,Ezek. 36:22-28,Rev. 21:1-5,Mt. 28:16-20,,,,,,401,5,
